	clade	rate	origin	origin_fixed_rate
0	19A	18.983479556248064	2019-12-14	2019-11-19
1	19B	22.615376893833187	2019-12-17	2019-11-01
2	19B+	19.573503502191755	2019-11-18	2019-10-15
3	19B++	34.43350719171099	2019-12-16	2019-08-14
4	20A	15.193751810613412	2020-01-19	2020-01-18
5	20B	13.190513833308831	2020-01-29	2020-02-08
6	20C	16.56364353717412	2020-02-14	2020-02-08
7	20A+	16.76800215716001	2020-01-03	2019-12-22
8	20E	17.23313104758709	2020-05-22	2020-05-01
9	20H	17.154455263582346	2020-08-19	2020-07-31
10	20I	12.19154360543804	2020-08-31	2020-09-29
11	20J	13.895548514943451	2020-11-21	2020-12-01
12	21D	11.261009651944402	2020-09-27	2020-11-07
13	21G	12.028917221898869	2020-10-06	2020-11-12
14	21H	15.27471846990045	2020-11-26	2020-11-23
15	21I	22.76472733569166	2021-03-05	2021-01-01
16	21J	18.38588767843376	2021-03-03	2021-01-31
17	21K	14.403745699875397	2021-09-27	2021-10-01
18	21L	9.889417415067259	2021-10-28	2021-12-10
19	22A	10.224720166132029	2022-01-09	2022-02-25
20	22B	17.84937393337169	2022-02-06	2022-01-13
